"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"572367258430918656","","","2015-03-02 12:06:03 +0000","<a href=""http://klinkerapps.com"" rel=""nofollow"">Talon Plus</a>","It's snowing and Bedford highway is a parking lot as far as can be seen. Shocking? Not really. #halifax","","","",""
"571365089472851968","","128956175","2015-02-27 17:43:47 +0000","<a href=""http://klinkerapps.com"" rel=""nofollow"">Talon Plus</a>","@TheRealNimoy: ""A life is like a garden. Perfect moments can be had, but not preserved, except in memory. LLAP"". So sad, will be missed.","","","",""
"571351760142524416","","","2015-02-27 16:50:49 +0000","<a href=""http://klinkerapps.com"" rel=""nofollow"">Talon Plus</a>","RT @Kraveburger: Krave is giving away a pair of tickets to @TwitCoast's Burger Bus (Sat Mar 7,1-4pm), RT and FAV this tweet to enter! http:…","571340541431930881","2446079564","2015-02-27 16:06:14 +0000","http://twitter.com/Kraveburger/status/571340541431930881/photo/1,http://twitter.com/Kraveburger/status/571340541431930881/photo/1"
"570924180759302144","","","2015-02-26 12:31:46 +0000","<a href=""http://klinkerapps.com"" rel=""nofollow"">Talon Plus</a>","Sidewalks are pure ice out there #halifax . be careful","","","",""
"570642848409886720","","","2015-02-25 17:53:51 +0000","<a href=""http://klinkerapps.com"" rel=""nofollow"">Talon Plus</a>","With the storm hitting us, I hope more businesses close their doors. Keep safe out there","","","",""
"570390119057793024","","","2015-02-25 01:09:36 +0000","<a href=""http://klinkerapps.com"" rel=""nofollow"">Talon Plus</a>","RT @Oatmeal: Hey @pebble, I have an idea for a Kickstarter campaign that I think could break every record, ever http://t.co/wgpIQV6ySL","570356408870244354","4519121","2015-02-24 22:55:39 +0000","http://twitter.com/Oatmeal/status/570356408870244354/photo/1,http://twitter.com/Oatmeal/status/570356408870244354/photo/1"
"567474635315621888","","","2015-02-17 00:04:30 +0000","<a href=""http://klinkerapps.com"" rel=""nofollow"">Talon Plus</a>","Awesome weekend with amazing wife. Tomorrow? Hair cut.  Weather permitting...","","","",""
"559226407151501312","","","2015-01-25 05:49:00 +0000","<a href=""http://klinkerapps.com"" rel=""nofollow"">Talon Plus</a>","Listening to @cdnmaple6 play frogger might be the most hilarious thing I've ever heard","","","",""
"558322204006678528","","","2015-01-22 17:56:01 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","New thought in the fight against popups: Any time I'm forced to view an app in the store? It gets a 1 star review.","","","",""
"557701895826186240","","","2015-01-21 00:51:08 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Liberal amounts of heat and rest, and my shoulder is not nearly in as much pain.  Might be the drugs I took too... maybe.","","","",""
"557556026132938752","","","2015-01-20 15:11:30 +0000","<a href=""http://klinkerapps.com"" rel=""nofollow"">Talon Plus</a>","That feeling when you have intense shoulder pain after sleeping wrong 2 nights in a row. Ouch doesn't seem to cover it","","","",""
"556891060413018112","","","2015-01-18 19:09:09 +0000","<a href=""http://klinkerapps.com"" rel=""nofollow"">Talon Plus</a>","That shoulder pain when you sleep wrong. Egads","","","",""
"556461043522998272","","","2015-01-17 14:40:25 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Want to win Stone Age? I just entered to win &amp; you can too:  http://t.co/CSrtwO89ez","","","","http://is.gd/RxKTBG"
"556344927773556737","","","2015-01-17 06:59:01 +0000","<a href=""http://klinkerapps.com"" rel=""nofollow"">Talon Plus</a>","Sometimes I wish I could sleep without randomly waking thru the night.","","","",""
"548147831677390849","","","2014-12-25 16:06:41 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","A Happy Holidays to all my friends and family.  Be safe out there, and give a hug to someone close to you.","","","",""
"544544931696902144","","","2014-12-15 17:30:03 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Winters Little Helper + Mistletoe == Ms. Claus #WCPWOWTCGLOOT peoii","","","",""
"543889966712229890","","134862737","2014-12-13 22:07:27 +0000","<a href=""http://klinkerapps.com"" rel=""nofollow"">Talon Plus</a>","@Eastlink internet service having issues?  Third time it has gone out here today.  Near Larry Uteck","","","",""
"531589387759648768","","","2014-11-09 23:29:21 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I love my wife.  In every way I can say it, I love her.  Just thought she might see it in her twitter feed and smile.  Worth it. :)","","","",""
"524573681780281344","","14429384","2014-10-21 14:51:26 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@asmallorange Sasha wishes you and your customers a happy Halloween!  http://t.co/ginf1nz59C","","","","http://i.imgur.com/xvsqRfU.jpg"
"522546471502360577","","","2014-10-16 00:36:01 +0000","<a href=""http://www.tweetlanes.com"" rel=""nofollow"">Tweet Lanes</a>","Dear New Brunswick, turn down your high beams when passing another car please. Thanks.","","","",""
"507912699842289664","","","2014-09-05 15:26:38 +0000","<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","I entered to win a free @Diablo Treasure Goblin Pack, and you can too! #GreedIsGood http://t.co/nIHj592LJV","","","","http://splur.gy/r/ZPWXy/r/2Qs0FfyDWvR"
"507339848672215040","","","2014-09-04 01:30:20 +0000","<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","Happy to be the 17,577th believer on @BackerKit for Reading Rainbow: Every Child,... | Thx @ReadingRainbow! https://t.co/sqOHephWsU","","","","https://readingrainbow.backerkit.com/hosted_preorders/backers/1318145"
"484470386797854720","","","2014-07-02 22:55:15 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Congrats to @readingrainbow on being funded!  So happy to be a contributor for the next generation of kids learning the way I did, in a book","","","",""
"464845675927457792","","","2014-05-09 19:13:40 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","It's been a while since I updated here, but that'll change.  I've just been busy, but new adventures are on the horizon!","","","",""
"430037194745466880","","","2014-02-02 17:57:11 +0000","<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","Get your paws on the TunnelBear app! (http://t.co/RbC8obRPJt) and browse privately from another country! @theTunnelBear","","","","http://tunnelbear.com"
"419232803083927552","","","2014-01-03 22:24:23 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @hfxtransit: Metro Transit operations suspended for the rest of the day (ferries still operational). Buses return to the road at 5am Sat.","419217589353844736","389593324","2014-01-03 21:23:56 +0000",""
"410524192887410688","","","2013-12-10 21:39:29 +0000","<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","I just entered to win a trip to Greece, curated by Dean Karnazes! http://t.co/DWpLOcQbU1 #12DaysOfAdventure","","","","http://zozi.me/1bUH79L"
"408133698543190016","","","2013-12-04 07:20:31 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","SASS or LESS?  Which would you choose if you were just picking one to learn as a project?  They're both tempting.","","","",""
"406953634098728961","","","2013-12-01 01:11:21 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Thanksgiving with the inlaws was a complete success.  Amazing dinner, great company, good day all around.","","","",""
"406271291155443712","","","2013-11-29 03:59:58 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","That awesome feeling when you drycode something, only to have it perform flawlessly in Chrome and FF, and fail miserably in IE. #sigh","","","",""
"403219512759037952","","","2013-11-20 17:53:17 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","The Snow Flurries that my phone is telling me should be here, are not nearly here enough.  More Snow!","","","",""
"402509325333045248","","","2013-11-18 18:51:16 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","I really love it when it rains here in Halifax.  So peaceful and relaxing.  Though I get the impression I'm alone in that thought.","","","",""
"401113865192087552","","","2013-11-14 22:26:12 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Lay you a bet, if YouTube comments were powered by FB instead of G+, people would still post Bob. #growup #youtube #ItsReallyBetter","","","",""
